Rosseland opacity table for the element mix X=0.70, Y=0.28 and Z=0.20
based on Seaton et al. (1994),  Alexander & Ferguson (1994) ApJ, 437, 879, 
and Henning & Stognienko R. (1996), A&A 311, 291 in OP-format (log T vs log R)
000024 000141 --- number of points in log R and log T
2.600 +0.000 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854 +0.854
2.650 +0.000 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859 +0.859
2.700 +0.000 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885 +0.885
2.750 +0.000 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842 +0.842
2.800 +0.000 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551 +0.551
2.850 +0.000 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472 +0.472
2.900 +0.000 +0.474 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481 +0.481
2.950 +0.000 +0.440 +0.458 +0.483 +0.506 +0.518 +0.519 +0.520 +0.520 +0.520 +0.520 +0.520 +0.520 +0.520 +0.520 +0.520 +0.520 +0.520 +0.520 +0.520 +0.520 +0.520 +0.520 +0.520
3.000 +0.000 +0.265 +0.301 +0.360 +0.410 +0.446 +0.487 +0.526 +0.549 +0.559 +0.560 +0.560 +0.560 +0.560 +0.560 +0.560 +0.560 +0.560 +0.560 +0.560 +0.560 +0.560 +0.560 +0.560
3.050 +0.000 -0.078 -0.078 -0.055 -0.036 +0.040 +0.191 +0.296 +0.357 +0.419 +0.489 +0.551 +0.579 +0.599 +0.603 +0.604 +0.605 +0.605 +0.605 +0.605 +0.605 +0.605 +0.605 +0.605
3.100 +0.000 -2.423 -2.423 -2.423 -2.424 -2.424 -2.425 -1.346 -1.092 -0.862 -0.269 +0.060 +0.143 +0.354 +0.505 +0.593 +0.626 +0.657 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.150 +0.000 -2.496 -2.448 -2.434 -2.429 -2.428 -2.427 -2.427 -2.427 -2.428 -2.428 -2.429 -1.133 -0.936 -0.756 -0.653 +0.026 +0.413 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.200 +0.000 -4.011 -3.281 -2.702 -2.420 -2.329 -2.301 -2.291 -2.288 -2.285 -2.284 -2.284 -2.285 -2.285 -2.284 -2.284 -2.280 -0.881 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.250 +0.000 -5.131 -4.888 -4.409 -3.724 -3.012 -2.463 -2.186 -2.088 -2.057 -2.045 -2.040 -2.037 -2.036 -2.034 -2.033 -2.032 -2.029 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
3.300 +0.000 -5.133 -5.117 -5.060 -4.894 -4.515 -3.903 -3.194 -2.559 -2.134 -1.939 -1.869 -1.844 -1.834 -1.828 -1.825 -1.822 -1.820 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
